Date,Time,Latitude,Longitude,Type,Depth,Magnitude,Timestamp,Magnitude Category,DistanceFromRef
08/05/1982,20:32:53,-12.597,165.931,Earthquake,30.7,9.4,1982-08-05T20:32:53.000+05:30,High,17924.714472496365
08/06/1982,20:40:52,-8.375,120.577,Earthquake,45.7,8.6,1982-08-06T20:40:52.000+05:30,High,13367.48215459129
08/06/1982,20:46:14,-8.319,120.416,Earthquake,49.9,9.6,1982-08-06T20:46:14.000+05:30,High,13350.363915183294
09/14/1982,18:17:03,-7.23,147.991,Earthquake,36.8,8.0,1982-09-14T18:17:03.000+05:30,High,16375.615639394222
09/15/1982,22:34:05,-21.576,169.211,Earthquake,31.4,8.4,1982-09-15T22:34:05.000+05:30,High,17345.577718626242
09/21/1982,00:46:30,-9.645,152.044,Earthquake,22.7,6.0,1982-09-21T00:46:30.000+05:30,Moderate,16740.876346432844
10/04/1982,15:41:09,-31.971,-178.514,Earthquake,65.9,9.2,1982-10-04T15:41:09.000+05:30,High,16456.642459397935
10/29/1982,03:47:23,-6.049,130.452,Earthquake,166.2,5.2,1982-10-29T03:47:23.000+05:30,Low,14475.415651436842
11/20/1982,07:58:45,34.583,70.508,Earthquake,25.3,7.0,1982-11-20T07:58:45.000+05:30,High,8234.527690175259
12/01/1982,01:12:06,-7.62,116.914,Earthquake,322.3,5.7,1982-12-01T01:12:06.000+05:30,Moderate,12971.716374424244
12/05/1982,15:52:25,-23.41,-175.952,Earthquake,50.0,15.4,1982-12-05T15:52:25.000+05:30,High,17375.543169090182
12/19/1982,19:40:53,30.574,57.524,Earthquake,39.5,6.2,1982-12-19T19:40:53.000+05:30,Moderate,6945.748919261935
12/19/1982,23:41:12,-24.337,-175.627,Earthquake,61.7,6.9,1982-12-19T23:41:12.000+05:30,High,17268.216217521003
03/18/1983,23:46:20,-4.597,153.572,Earthquake,100.0,7.9,1983-03-18T23:46:20.000+05:30,High,17035.45639899669
04/04/1983,03:03:35,5.791,94.746,Earthquake,69.5,5.8,1983-04-04T03:03:35.000+05:30,Moderate,10532.575395115195
04/24/1983,03:29:18,-23.976,-175.956,Earthquake,29.0,8.5,1983-04-24T03:29:18.000+05:30,High,17313.630504681594
05/05/1983,04:43:50,-33.866,179.649,Earthquake,25.2,9.3,1983-05-05T04:43:50.000+05:30,High,16249.181154910946
07/17/1983,22:10:24,-0.123,121.654,Earthquake,52.3,6.8,1983-07-17T22:10:24.000+05:30,High,13527.298480746093
07/22/1983,04:27:58,-0.161,121.564,Earthquake,66.1,11.7,1983-07-22T04:27:58.000+05:30,High,13517.2849429434
08/02/1983,06:08:07,45.139,153.485,Earthquake,56.0,8.4,1983-08-02T06:08:07.000+05:30,High,14359.525788355251
08/17/1983,10:55:54,55.867,161.287,Earthquake,62.6,5.4,1983-08-17T10:55:54.000+05:30,Low,13577.316223530797
10/02/1983,15:18:10,-6.627,154.552,Earthquake,67.8,5.3,1983-10-02T15:18:10.000+05:30,Low,17097.223656015813
10/12/1983,03:39:39,8.055,-82.741,Earthquake,20.2,5.3,1983-10-12T03:39:39.000+05:30,Low,9208.384841956797
10/30/1983,21:39:16,47.788,152.869,Earthquake,78.7,6.9,1983-10-30T21:39:16.000+05:30,High,14090.952904905222
11/25/1983,21:54:12,-5.466,152.003,Earthquake,26.4,6.7,1983-11-25T21:54:12.000+05:30,High,16847.903109872634
12/18/1983,17:28:30,-8.964,119.728,Earthquake,35.5,5.8,1983-12-18T17:28:30.000+05:30,Moderate,13268.79966350035
12/20/1983,10:41:02,40.408,-125.6465,Earthquake,8.126,20.61,1983-12-20T10:41:02.000+05:30,High,12936.855898997095
12/31/1983,00:44:43,-26.051,-70.077,Earthquake,55.1,5.1,1983-12-31T00:44:43.000+05:30,Low,8025.316587132113
01/04/1984,22:40:39,45.477,151.414,Earthquake,20.4,5.1,1984-01-04T22:40:39.000+05:30,Low,14233.42158296232
01/17/1984,16:19:03,-3.904,-81.425,Earthquake,18.2,5.8,1984-01-17T16:19:03.000+05:30,Moderate,9056.276412609806
02/06/1984,14:40:12,45.53,150.174,Earthquake,95.9,5.2,1984-02-06T14:40:12.000+05:30,Low,14169.17574177349
04/14/1984,19:57:39,2.454,126.575,Earthquake,51.7,5.1,1984-04-14T19:57:39.000+05:30,Low,14070.16336215259
04/21/1984,12:36:16,-15.681,-172.965,Earthquake,73.0,7.7,1984-04-21T12:36:16.000+05:30,High,18108.030916265205
04/24/1984,03:35:36,-5.047,151.493,Earthquake,126.7,7.3,1984-04-24T03:35:36.000+05:30,High,16800.066562779044
05/26/1984,22:42:47,-10.896,164.183,Earthquake,26.5,8.0,1984-05-26T22:42:47.000+05:30,High,17888.204168838092
05/26/1984,23:00:51,-10.886,164.116,Earthquake,39.3,5.4,1984-05-26T23:00:51.000+05:30,Low,17882.72954191757
06/03/1984,14:46:36,-22.649,171.857,Earthquake,23.8,7.4,1984-06-03T14:46:36.000+05:30,High,17346.89304900294
06/13/1984,13:42:41,-3.409,130.948,Earthquake,25.1,9.3,1984-06-13T13:42:41.000+05:30,High,14550.977598787724
07/03/1984,00:58:15,36.295,69.522,Earthquake,53.5,6.5,1984-07-03T00:58:15.000+05:30,Moderate,8186.412099093635
07/25/1984,19:34:52,1.291,126.588,Earthquake,43.9,5.4,1984-07-25T19:34:52.000+05:30,Low,14074.742652278648
08/15/1984,08:25:54,-3.233,136.598,Earthquake,32.5,6.3,1984-08-15T08:25:54.000+05:30,Moderate,15178.29313867187
08/17/1984,10:42:20,-21.421,-175.268,Earthquake,114.3,5.3,1984-08-17T10:42:20.000+05:30,Low,17578.427133286077
08/25/1984,18:02:30,-3.127,139.606,Earthquake,81.0,6.6,1984-08-25T18:02:30.000+05:30,High,15512.342368490969
08/31/1984,15:42:12,-17.957,172.149,Earthquake,29.0,5.1,1984-08-31T15:42:12.000+05:30,Low,17841.636718590496
09/10/1984,03:14:28,40.503834,-125.13033,Earthquake,4.333,23.2,1984-09-10T03:14:28.000+05:30,High,12892.733479355338
09/22/1984,05:32:16,-23.998,-175.964,Earthquake,67.5,14.9,1984-09-22T05:32:16.000+05:30,High,17311.35969609097
09/22/1984,21:44:17,-32.04,-178.405,Earthquake,44.1,10.6,1984-09-22T21:44:17.000+05:30,High,16448.458959339525
10/13/1984,02:03:48,-18.163,-175.606,Earthquake,36.8,7.7,1984-10-13T02:03:48.000+05:30,High,17939.132538801132
11/02/1984,06:33:29,8.253,126.056,Earthquake,23.9,9.1,1984-11-02T06:33:29.000+05:30,High,13968.883243992334
11/11/1984,23:07:25,10.339,125.191,Earthquake,32.3,6.1,1984-11-11T23:07:25.000+05:30,Moderate,13847.946580467948
11/21/1984,14:33:20,-14.505,171.162,Earthquake,23.4,7.2,1984-11-21T14:33:20.000+05:30,High,18131.893971255184
11/21/1984,18:17:51,-14.508,171.089,Earthquake,23.7,7.4,1984-11-21T18:17:51.000+05:30,High,18127.453980008304
12/02/1984,21:09:26,-3.818,152.037,Earthquake,17.9,6.3,1984-12-02T21:09:26.000+05:30,Moderate,16879.212732121974
12/03/1984,07:38:10,37.971,43.147,Earthquake,35.6,5.8,1984-12-03T07:38:10.000+05:30,Moderate,6103.387483670661
12/19/1984,07:51:35,-17.044,172.471,Earthquake,33.6,5.5,1984-12-19T07:51:35.000+05:30,Low,17948.236608571257
12/28/1984,18:20:16,-36.638,177.772,Earthquake,26.8,5.9,1984-12-28T18:20:16.000+05:30,Moderate,15934.655363408421
12/30/1984,15:06:45,-36.622,177.893,Earthquake,23.6,5.5,1984-12-30T15:06:45.000+05:30,Low,15937.114347729683
12/30/1984,20:26:25,-36.68,177.701,Earthquake,42.9,7.1,1984-12-30T20:26:25.000+05:30,High,15929.577045397717
12/30/1984,20:59:56,-36.695,177.493,Earthquake,35.8,7.1,1984-12-30T20:59:56.000+05:30,High,15926.613719036188
01/06/1985,18:32:05,-36.644,177.584,Earthquake,28.0,7.8,1985-01-06T18:32:05.000+05:30,High,15932.852610720973
01/07/1985,16:13:05,27.152,91.986,Earthquake,11.8,5.5,1985-01-07T16:13:05.000+05:30,Low,10204.032298714179
01/08/1985,02:54:45,-31.137,-178.296,Earthquake,91.5,7.2,1985-01-08T02:54:45.000+05:30,High,16548.14976296979
01/08/1985,07:41:47,-36.583,177.685,Earthquake,24.6,7.1,1985-01-08T07:41:47.000+05:30,High,15940.2422454138
01/12/1985,04:51:40,16.592,122.38,Earthquake,44.0,6.7,1985-01-12T04:51:40.000+05:30,High,13441.18379944084
01/14/1985,22:40:06,-22.176,170.078,Earthquake,35.4,9.6,1985-01-14T22:40:06.000+05:30,High,17325.075325656006
01/17/1985,21:33:09,-3.782,141.772,Earthquake,33.5,6.0,1985-01-17T21:33:09.000+05:30,Moderate,15746.744629504848
01/23/1985,20:36:18,-3.898,151.597,Earthquake,13.7,8.1,1985-01-23T20:36:18.000+05:30,High,16829.6696110894
01/31/1985,02:43:02,2.743,128.586,Earthquake,224.0,6.6,1985-01-31T02:43:02.000+05:30,High,14292.288496109084
